index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,surfboard,,Is dog on surfboard?,1,000000372029.jpg
0,1,dog,,Is laptop at the left side of dog?,1,000000434275.jpg
0,2,train,,Is laptop inside train?,1,000000192707.jpg
0,3,horse,,Is zebra behind horse?,1,000000568005.jpg
0,4,dog,,Is chair under dog?,0,000000506296.jpg
0,5,horse,,Is chair beneath horse?,1,000000276209.jpg
0,6,dog,,Is chair above dog?,0,000000431440.jpg
0,7,horse,,Is zebra left of horse?,0,000000568005.jpg
0,8,train,,Is motorcycle ahead of train?,1,000000052983.jpg
0,9,dog,,Is bench over dog?,1,000000463593.jpg
0,10,motorcycle,,Is train perpendicular to motorcycle?,1,000000338407.jpg
0,11,dog,,Is laptop above dog?,1,000000315577.jpg
0,12,dog,,Is motorcycle behind dog?,0,000000476468.jpg
0,13,chair,,Is dog in the middle of chair?,1,000000499225.jpg
0,14,dog,,Is refrigerator at the left side of dog?,0,000000114504.jpg
0,15,dog,,Is chair opposite to dog?,1,000000392715.jpg
0,16,motorcycle,,Is dog on motorcycle?,0,000000054744.jpg
0,17,dog,,Is bench touching dog?,1,000000565951.jpg
0,18,train,,Is bench in front of train?,1,000000473642.jpg
0,19,bench,,Is laptop on bench?,0,000000147375.jpg
0,20,dog,,Is bench touching dog?,1,000000240653.jpg
0,21,chair,,Is laptop facing chair?,1,000000211260.jpg
0,22,train,,Is laptop beside train?,0,000000224670.jpg
0,23,chair,,Is train away from chair?,1,000000121754.jpg
0,24,dog,,Is laptop at the left side of dog?,1,000000228857.jpg
0,25,chair,,Is dog in front of chair?,0,000000458092.jpg
0,26,handbag,,Is laptop on top of handbag?,1,000000293837.jpg
0,27,motorcycle,,Is dog on motorcycle?,1,000000002337.jpg
0,28,dog,,Is laptop in front of dog?,0,000000069745.jpg
0,29,train,,Is chair on train?,0,000000387478.jpg
0,30,motorcycle,,Is dog at the left side of motorcycle?,0,000000253260.jpg
0,31,dog,,Is bench under dog?,1,000000496606.jpg
0,32,bench,,Is laptop on top of bench?,1,000000257629.jpg
0,33,chair,,Is dog under chair?,1,000000313520.jpg
0,34,bench,,Is laptop on top of bench?,1,000000558700.jpg
0,35,train,,Is motorcycle ahead of train?,1,000000450182.jpg
0,36,dog,,Is laptop at the left side of dog?,0,000000561411.jpg
0,37,bench,,Is dog below bench?,0,000000280858.jpg
0,38,dog,,Is chair behind dog?,1,000000058443.jpg
0,39,bench,,Is train left of bench?,0,000000245450.jpg
0,40,dog,,Is chair above dog?,1,000000313520.jpg
0,41,motorcycle,,Is dog on top of motorcycle?,1,000000089579.jpg
0,42,horse,,Is dog far away from horse?,0,000000336568.jpg
0,43,horse,,Is chair away from horse?,1,000000574717.jpg
0,44,laptop,,Is train contains laptop?,0,000000076547.jpg
0,45,laptop,,Is train contains laptop?,0,000000253004.jpg
0,46,dog,,Is refrigerator behind dog?,0,000000114504.jpg
0,47,motorcycle,,Is dog in front of motorcycle?,0,000000465819.jpg
0,48,train,,Is motorcycle ahead of train?,0,000000227399.jpg
0,49,dog,,Is motorcycle under dog?,1,000000211449.jpg
0,50,train,,Is chair against train?,0,000000330100.jpg
0,51,motorcycle,,Is dog below motorcycle?,1,000000168317.jpg
0,52,laptop,,Is chair at the right side of laptop?,1,000000561658.jpg
0,53,motorcycle,,Is dog on top of motorcycle?,0,000000430245.jpg
0,54,motorcycle,,Is dog in motorcycle?,1,000000015558.jpg
0,55,dog,,Is motorcycle behind dog?,0,000000043433.jpg
0,56,dog,,Is motorcycle behind dog?,0,000000251716.jpg
0,57,dog,,Is chair behind dog?,0,000000386715.jpg
0,58,laptop,,Is dog at the right side of laptop?,1,000000351914.jpg
0,59,laptop,,Is bench touching laptop?,1,000000257629.jpg
0,60,bench,,Is train perpendicular to bench?,1,000000570588.jpg
0,61,bench,,Is dog under bench?,1,000000318467.jpg
0,62,bench,,Is refrigerator behind bench?,0,000000256835.jpg
0,63,chair,,Is dog under chair?,0,000000456003.jpg
0,64,refrigerator,,Is bench in front of refrigerator?,0,000000061826.jpg
0,65,dog,,Is chair under dog?,0,000000395402.jpg
0,66,dog,,Is chair at the right side of dog?,1,000000033111.jpg
0,67,chair,,Is laptop at the left side of chair?,0,000000310150.jpg
0,68,surfboard,,Is dog far from surfboard?,1,000000580248.jpg
0,69,dog,,Is bench touching dog?,0,000000281764.jpg
0,70,dog,,Is surfboard under dog?,1,000000372029.jpg
0,71,dog,,Is laptop off dog?,0,000000396039.jpg
0,72,motorcycle,,Is dog in front of motorcycle?,0,000000253260.jpg
0,73,refrigerator,,Is bench in front of refrigerator?,1,000000497591.jpg
0,74,train,,Is bench part of train?,0,000000313506.jpg
0,75,motorcycle,,Is dog on motorcycle?,0,000000168317.jpg
0,76,dog,,Is refrigerator at the left side of dog?,1,000000567106.jpg
0,77,horse,,Is chair under horse?,1,000000413414.jpg
0,78,chair,,Is dog on chair?,1,000000448034.jpg
0,79,dog,,Is wine glass facing dog?,1,000000522288.jpg
0,80,train,,Is motorcycle at the left side of train?,0,000000338407.jpg
0,81,motorcycle,,Is dog in front of motorcycle?,0,000000211449.jpg
0,82,dog,,Is laptop in front of dog?,0,000000464871.jpg
0,83,refrigerator,,Is laptop in front of refrigerator?,0,000000407390.jpg
0,84,chair,,Is laptop at the left side of chair?,1,000000322321.jpg
0,85,horse,,Is bench surrounding horse?,1,000000164698.jpg
0,86,horse,,Is zebra touching horse?,0,000000024260.jpg
0,87,horse,,Is dog at the left side of horse?,1,000000366811.jpg
0,88,chair,,Is dog in chair?,0,000000369521.jpg
0,89,train,,Is bench in front of train?,0,000000421773.jpg
0,90,motorcycle,,Is train in front of motorcycle?,0,000000450182.jpg
0,91,laptop,,Is dog facing away from laptop?,0,000000134112.jpg
0,92,laptop,,Is dog facing away from laptop?,1,000000350245.jpg
0,93,refrigerator,,Is dog at the right side of refrigerator?,1,000000396890.jpg
0,94,chair,,Is dog beneath chair?,1,000000452300.jpg
0,95,bench,,Is laptop on top of bench?,0,000000054723.jpg
0,96,chair,,Is dog under chair?,1,000000452300.jpg
0,97,laptop,,Is train on top of laptop?,1,000000253004.jpg
0,98,bench,,Is dog under bench?,0,000000579760.jpg
0,99,dog,,Is refrigerator behind dog?,1,000000504396.jpg
0,100,bench,,Is refrigerator facing bench?,1,000000540460.jpg
0,101,chair,,Is dog facing chair?,0,000000456003.jpg
0,102,dog,,Is motorcycle in front of dog?,1,000000001915.jpg
0,103,bench,,Is train left of bench?,1,000000167892.jpg
0,104,horse,,Is chair below horse?,0,000000574717.jpg
0,105,bench,,Is laptop at the edge of bench?,0,000000264250.jpg
0,106,dog,,Is chair over dog?,0,000000431440.jpg
0,107,bench,,Is laptop at the edge of bench?,1,000000418107.jpg
0,108,bench,,Is train perpendicular to bench?,0,000000119861.jpg
0,109,horse,,Is dog far away from horse?,1,000000300322.jpg
0,110,dog,,Is motorcycle behind dog?,1,000000430245.jpg
0,111,chair,,Is train contains chair?,0,000000012681.jpg
0,112,horse,,Is zebra behind horse?,0,000000302924.jpg
0,113,bench,,Is laptop touching bench?,1,000000299004.jpg
0,114,laptop,,Is dog above laptop?,0,000000464871.jpg
0,115,dog,,Is bench below dog?,1,000000452891.jpg
0,116,dog,,Is laptop above dog?,0,000000481773.jpg
0,117,horse,,Is chair beneath horse?,1,000000004979.jpg
0,118,laptop,,Is chair facing laptop?,0,000000248643.jpg
0,119,horse,,Is dog facing horse?,0,000000300322.jpg
0,120,horse,,Is zebra touching horse?,1,000000357044.jpg
0,121,chair,,Is laptop facing chair?,0,000000239318.jpg
0,122,chair,,Is laptop facing away from chair?,1,000000131011.jpg
0,123,bench,,Is dog below bench?,1,000000083663.jpg
0,124,horse,,Is chair under horse?,0,000000543747.jpg
0,125,bench,,Is dog on top of bench?,1,000000240653.jpg
0,126,laptop,,Is bench behind laptop?,1,000000082894.jpg
0,127,chair,,Is laptop above chair?,1,000000402858.jpg
0,128,bench,,Is laptop on bench?,0,000000054723.jpg
0,129,horse,,Is dog at the right side of horse?,1,000000422185.jpg
0,130,dog,,Is bench touching dog?,0,000000380395.jpg
0,131,chair,,Is dog in front of chair?,1,000000253785.jpg
0,132,horse,,Is dog facing away from horse?,1,000000049269.jpg
0,133,dog,,Is bench under dog?,0,000000452963.jpg
0,134,dog,,Is surfboard under dog?,0,000000496252.jpg
0,135,dog,,Is chair touching dog?,1,000000456003.jpg
